video_id,author,comment,like_count,published
At9u_bDYIe0,@DelfitaBatam,Memangm. Mafia pajak mafia bea cukai mafia polisi dan mafia di kantor kantor baik dipemerinttahan maupun daerah dan kelurahan tak bisadiberantas karena. Mereka saling melindungi satu sama sudah menjadi kebiasaan walaupun pergantian pejabat oleh sebab itu saya mendukung sekali gebrakan Pak Menkeu sekarang yg sebelum nya tak pernah ada gerakannya malah memberikan tambahan gaji dan memperkaya pada pejabat mereka,0,2025-11-19T05:44:39Z
At9u_bDYIe0,@AKIRATAMPAN,"Pak Purbaya antek"" wiwi dan wowo jd aku ngga percaya dgn ketiga org ini 👌",0,2025-11-19T02:48:12Z
At9u_bDYIe0,@madeceraka3537,"Masyakat harus bersatu mendorong DPR untuk secepatnya UU perampasan Aset dan hukuman Mati bagi  pejabat yang terbukti kropsi,supaya aparat penegak hukum ada dasar untuk mengambil tidakan secara hukum,untuk BPK Mentri keuwangan kejar trus bagi pejabat yang kropsi,masyarakat sangat mendukungnya.",0,2025-11-19T01:58:47Z
At9u_bDYIe0,@wahyuamri8487,"Ternyata banyak sekali jabatan di Negeri ini dipegang oleh orang-orang jahat dan sangat biadab, pantas saja Negara ini sangat sulit untuk maju walaupun sumber daya alam nya sangat melimpah ruah 😢❤🇮🇩",0,2025-11-18T12:07:04Z
At9u_bDYIe0,@AbdulSalam-qy6yc,Ayo kita dukung purbaya sepuhnya kalau prabawo masih omon kita sikat juga krn masih bela tukang kayu,0,2025-11-18T10:10:50Z
At9u_bDYIe0,@radensoetjahjo8853,"*_Mungkin di MUSNAHKAN tdk mungkin, tp kalau di tekan SEMAKSIMAL mungkin msh bisa dan ada harapan, asal ada kemauan u/ membrantasnya dari para penegak HUKUM._*",0,2025-11-18T09:16:27Z
At9u_bDYIe0,@DiniNasution-j2y,"Printing by proyek bisa di lakukan
Tapi harus di ukur dan di awasi 
Jangan di lepas 
Gitu aja kok pusing....? 
Gampang.",0,2025-11-18T07:17:04Z
At9u_bDYIe0,@kualakaya331,"Ya Allah ridoilah dan beri bantuan mu ya Allah sdr Prabowo,/Purbaya untuk memberantas mafia,penghianat bangsa amin",0,2025-11-18T04:42:05Z
At9u_bDYIe0,@RafliSatya,Bravo pak purbaya dan pak presidenku ❤❤❤ tuntaskan mafia mafia yang merugikn masyarakat,0,2025-11-18T00:47:09Z
At9u_bDYIe0,@HermanRA-u8s,SEBAGAI RAKYAT JELATA.. SANGAT SETUJU PRESIDEN  MENUGASKAN KOPASUS UNTUK PERANG DENGAN PARA KORUPTOR & MAFIA YG TELAH MENGHANCURK AN NEGARA...... INDONISIA MAYORITAS RAKYAT NYA PETANI MAFIA PERTANIAN YG PALING MUDAH RAWAN PETANI PANEN IMPOR DAR I NEGARA LAIN.. PETANI RU GI NEGARA MISKIN..MIRIS NYA ERA PRABOWO MASIH TERJADI SINGKONG MELIM PAH NEGARA IMPOR TAPIO KA DARI NEGARA LAIN...... LAMPUNG SENTRA UTAMA NASIONAL TERPURUK SINGKONG PETANI TDK BE RHARGA SAAT JUAL MURA H DIPOTONG SEENAKNYA  45-60% APARAT HUKUM DIAM TDK PEDULI,0,2025-11-17T23:01:10Z
At9u_bDYIe0,@drmuriachannel5704,Terima kasih... diskusi penuh ilmu berintegritas. Pejabat2 yg membutakan diri demi uang haram tidak manfaat bagi orang tua mu. Istri anak. Rakyat dan negara.,0,2025-11-17T11:56:04Z
At9u_bDYIe0,@Nusantoro-b2n,"*BENARKAH 11.000 TRILYUN ADA DIKANTONG JKW DIDAPAT DARI MANA???*BISA DILACAK APA CUMA ISSU HOAKS ?,,,ADA PEMBIARAN???.MENTANG2 BERKUASA????,*",1,2025-11-17T08:43:48Z
At9u_bDYIe0,@Ramudin-t8f,"👎👅 MAFIA DI SELURUH INDONESIA ITU PASTI JAMAN JOKODOK/ JOKOWEEE , PERUSAHAAN DARI LUAR NEGRI JAMINAN DARI JOKODOK",0,2025-11-16T23:07:03Z
