video_id,author,comment,like_count,published,comment_clean,comment_normalized
At9u_bDYIe0,@DelfitaBatam,Memangm. Mafia pajak mafia bea cukai mafia polisi dan mafia di kantor kantor baik dipemerinttahan maupun daerah dan kelurahan tak bisadiberantas karena. Mereka saling melindungi satu sama sudah menjadi kebiasaan walaupun pergantian pejabat oleh sebab itu saya mendukung sekali gebrakan Pak Menkeu sekarang yg sebelum nya tak pernah ada gerakannya malah memberikan tambahan gaji dan memperkaya pada pejabat mereka,0,2025-11-19T05:44:39Z,Memangm Mafia pajak mafia bea cukai mafia polisi dan mafia di kantor kantor baik dipemerinttahan maupun daerah dan kelurahan tak bisadiberantas karena Mereka saling melindungi satu sama sudah menjadi kebiasaan walaupun pergantian pejabat oleh sebab itu saya mendukung sekali gebrakan Pak Menkeu sekarang yg sebelum nya tak pernah ada gerakannya malah memberikan tambahan gaji dan memperkaya pada pejabat mereka,memangm mafia pajak mafia bea cukai mafia polisi mafia kantor kantor baik dipemerinttahan maupun daerah kelurahan tak bisadiberanta sale melindungi satu sama menjadi kebiasaan walaupun pergantian pejabat mendukung sekali gebrakan pak menkeu sekarang nya tak pernah gerakannya malah memberikan tambahan gaji memperkaya pejabat
At9u_bDYIe0,@AKIRATAMPAN,"Pak Purbaya antek"" wiwi dan wowo jd aku ngga percaya dgn ketiga org ini 👌",0,2025-11-19T02:48:12Z,Pak Purbaya antek wiwi dan wowo jd aku ngga percaya dgn ketiga org ini,pak purbaya antek wiwi wowo ngga percaya ketiga org
At9u_bDYIe0,@madeceraka3537,"Masyakat harus bersatu mendorong DPR untuk secepatnya UU perampasan Aset dan hukuman Mati bagi  pejabat yang terbukti kropsi,supaya aparat penegak hukum ada dasar untuk mengambil tidakan secara hukum,untuk BPK Mentri keuwangan kejar trus bagi pejabat yang kropsi,masyarakat sangat mendukungnya.",0,2025-11-19T01:58:47Z,Masyakat harus bersatu mendorong DPR untuk secepatnya UU perampasan Aset dan hukuman Mati bagi pejabat yang terbukti kropsi supaya aparat penegak hukum ada dasar untuk mengambil tidakan secara hukum untuk BPK Mentri keuwangan kejar trus bagi pejabat yang kropsi masyarakat sangat mendukungnya,masyakat haru bersatu mendorong dpr secepatnya perampasan aset hukuman mati bagi pejabat terbukti kropsi aparat penegak hukum dasar mengambil tidakan secara hukum bpk mentri keuwangan kejar tru bagi pejabat kropsi masyarakat sangat mendukungnya
At9u_bDYIe0,@wahyuamri8487,"Ternyata banyak sekali jabatan di Negeri ini dipegang oleh orang-orang jahat dan sangat biadab, pantas saja Negara ini sangat sulit untuk maju walaupun sumber daya alam nya sangat melimpah ruah 😢❤🇮🇩",0,2025-11-18T12:07:04Z,Ternyata banyak sekali jabatan di Negeri ini dipegang oleh orang orang jahat dan sangat biadab pantas saja Negara ini sangat sulit untuk maju walaupun sumber daya alam nya sangat melimpah ruah,ternyata banyak sekali jabatan negeri dipegang orang orang jahat sangat biadab panta negara sangat sulit maju walaupun sumber daya alam nya sangat melimpah ruah
At9u_bDYIe0,@AbdulSalam-qy6yc,Ayo kita dukung purbaya sepuhnya kalau prabawo masih omon kita sikat juga krn masih bela tukang kayu,0,2025-11-18T10:10:50Z,Ayo kita dukung purbaya sepuhnya kalau prabawo masih omon kita sikat juga krn masih bela tukang kayu,ayo dukung purbaya sepuhnya kalau prabawo masih omon sikat krn masih bela tukang kayu
At9u_bDYIe0,@radensoetjahjo8853,"*_Mungkin di MUSNAHKAN tdk mungkin, tp kalau di tekan SEMAKSIMAL mungkin msh bisa dan ada harapan, asal ada kemauan u/ membrantasnya dari para penegak HUKUM._*",0,2025-11-18T09:16:27Z,_Mungkin di MUSNAHKAN tdk mungkin tp kalau di tekan SEMAKSIMAL mungkin msh bisa dan ada harapan asal ada kemauan u membrantasnya dari para penegak HUKUM _,_mungkin musnahkan mungkin kalau tekan semaksim mungkin msh bisa harapan asal kemauan membrantasnya para penegak hukum
At9u_bDYIe0,@DiniNasution-j2y,"Printing by proyek bisa di lakukan
Tapi harus di ukur dan di awasi 
Jangan di lepas 
Gitu aja kok pusing....? 
Gampang.",0,2025-11-18T07:17:04Z,Printing by proyek bisa di lakukan Tapi harus di ukur dan di awasi Jangan di lepas Gitu aja kok pusing Gampang,print proyek bisa lakukan haru ukur awasi jangan lepa gitu aja kok puse gampang
At9u_bDYIe0,@kualakaya331,"Ya Allah ridoilah dan beri bantuan mu ya Allah sdr Prabowo,/Purbaya untuk memberantas mafia,penghianat bangsa amin",0,2025-11-18T04:42:05Z,Ya Allah ridoilah dan beri bantuan mu ya Allah sdr Prabowo Purbaya untuk memberantas mafia penghianat bangsa amin,allah ridoilah beri bantuan allah sdr prabowo purbaya memberanta mafia penghianat bangsa amin
At9u_bDYIe0,@RafliSatya,Bravo pak purbaya dan pak presidenku ❤❤❤ tuntaskan mafia mafia yang merugikn masyarakat,0,2025-11-18T00:47:09Z,Bravo pak purbaya dan pak presidenku tuntaskan mafia mafia yang merugikn masyarakat,bravo pak purbaya pak presidenku tuntaskan mafia mafia merugikn masyarakat
At9u_bDYIe0,@HermanRA-u8s,SEBAGAI RAKYAT JELATA.. SANGAT SETUJU PRESIDEN  MENUGASKAN KOPASUS UNTUK PERANG DENGAN PARA KORUPTOR & MAFIA YG TELAH MENGHANCURK AN NEGARA...... INDONISIA MAYORITAS RAKYAT NYA PETANI MAFIA PERTANIAN YG PALING MUDAH RAWAN PETANI PANEN IMPOR DAR I NEGARA LAIN.. PETANI RU GI NEGARA MISKIN..MIRIS NYA ERA PRABOWO MASIH TERJADI SINGKONG MELIM PAH NEGARA IMPOR TAPIO KA DARI NEGARA LAIN...... LAMPUNG SENTRA UTAMA NASIONAL TERPURUK SINGKONG PETANI TDK BE RHARGA SAAT JUAL MURA H DIPOTONG SEENAKNYA  45-60% APARAT HUKUM DIAM TDK PEDULI,0,2025-11-17T23:01:10Z,SEBAGAI RAKYAT JELATA SANGAT SETUJU PRESIDEN MENUGASKAN KOPASUS UNTUK PERANG DENGAN PARA KORUPTOR MAFIA YG TELAH MENGHANCURK AN NEGARA INDONISIA MAYORITAS RAKYAT NYA PETANI MAFIA PERTANIAN YG PALING MUDAH RAWAN PETANI PANEN IMPOR DAR I NEGARA LAIN PETANI RU GI NEGARA MISKIN MIRIS NYA ERA PRABOWO MASIH TERJADI SINGKONG MELIM PAH NEGARA IMPOR TAPIO KA DARI NEGARA LAIN LAMPUNG SENTRA UTAMA NASIONAL TERPURUK SINGKONG PETANI TDK BE RHARGA SAAT JUAL MURA H DIPOTONG SEENAKNYA 45 60 APARAT HUKUM DIAM TDK PEDULI,sebagai rakyat jelata sangat setuju presiden menugaskan kopasu perang para koruptor mafia menghancurk negara indonisia mayorita rakyat nya petani mafia pertanian pale mudah rawan petani panen impor dar negara lain petani negara miskin miri nya era prabowo masih terjadi singkong melim pah negara impor tapio negara lain lampung sentra utama nasion terpuruk singkong petani rharga saat jual mura dipotong seenaknya aparat hukum diam peduli
